16:37:04 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
16:50:56 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
17:46:12 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
18:08:17 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
18:11:45 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:21:54 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:22:51 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:25:10 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
17:24:37 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : Hi ; Status : Initialising, Message : Run requested 
17:24:37 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : Hi ; Status : Not Authorised., Message : Not Authorised 
17:24:37 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : Hi ; Status : Initialising, Message : Run requested 
17:24:37 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : Hi ; Status : Completed successfully., Message : Completed 
17:24:37 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : ; Status : Initialising, Message : Run requested 
17:24:37 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : ; Status : Completed successfully., Message : Completed 
17:50:53 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Initialising, Message : Run requested 
17:50:53 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Completed successfully., Message : Completed 
17:56:14 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Initialising, Message : Run requested 
17:56:14 , User: stedo , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Completed successfully., Message : Completed 
